@rel(Composed_Of)
@from(PE_Device)key|@to(PE_PPort)key
10.204.241.1|10.204.241.1/FastEthernet0/24
10.204.241.8|10.204.241.8/FastEthernet0/12
10.204.241.2|10.204.241.2/FastEthernet0/11
10.204.241.88|10.204.241.88/FastEthernet0/16
10.204.244.131|10.204.244.131/FastEthernet0/3
192.168.114.116|192.168.114.116/GigabitEthernet0/1
10.204.244.21|10.204.244.21/FastEthernet0/7
10.204.244.2|10.204.244.2/FastEthernet0/19
10.204.241.3|10.204.241.3/FastEthernet0/8
12.123.105.100|12.123.105.100/GigabitEthernet0/2
10.204.241.0|10.204.241.0/FastEthernet0/16
12.123.106.116|12.123.106.116/GigabitEthernet0/1
10.204.241.11|10.204.241.11/FastEthernet0/4
10.204.241.12|10.204.241.12/FastEthernet0/5
10.204.241.1|10.204.241.1/FastEthernet0/12
148.0.11.52|148.0.11.52/GigabitEthernet0/0
10.204.241.88|10.204.241.88/FastEthernet0/20
10.204.241.1|10.204.241.1/FastEthernet0/4
10.204.241.3|10.204.241.3/FastEthernet0/1
148.0.7.172|148.0.7.172/GigabitEthernet0/0
10.204.242.50|10.204.242.50/FastEthernet0/3
12.123.110.4|12.123.110.4/GigabitEthernet0/1
10.204.244.131|10.204.244.131/FastEthernet0/10
10.204.241.2|10.204.241.2/FastEthernet0/9
10.204.244.21|10.204.244.21/FastEthernet0/20
10.204.244.131|10.204.244.131/FastEthernet0/9
148.0.4.52|148.0.4.52/5
10.204.244.21|10.204.244.21/FastEthernet0/17
12.123.115.36|12.123.115.36/5
10.204.241.51|10.204.241.51/FastEthernet0/11
192.168.114.124|192.168.114.124/GigabitEthernet0/0
10.204.241.2|10.204.241.2/FastEthernet0/13
10.204.244.21|10.204.244.21/FastEthernet0/10
10.204.241.2|10.204.241.2/FastEthernet0/20
10.204.244.131|10.204.244.131/FastEthernet0/7
148.0.15.148|148.0.15.148/GigabitEthernet0/1
192.168.114.108|192.168.114.108/GigabitEthernet0/2
10.204.241.88|10.204.241.88/GigabitEthernet0/0
10.204.242.50|10.204.242.50/FastEthernet0/7
10.204.244.131|10.204.244.131/FastEthernet0/24
10.204.241.3|10.204.241.3/FastEthernet0/19
10.204.242.50|10.204.242.50/FastEthernet0/4
12.123.103.140|12.123.103.140/GigabitEthernet0/2/0
10.204.244.2|10.204.244.2/FastEthernet0/22
10.204.241.11|10.204.241.11/FastEthernet0/13
10.204.241.12|10.204.241.12/FastEthernet0/2
10.204.244.2|10.204.244.2/FastEthernet0/5
10.204.241.0|10.204.241.0/FastEthernet0/7
10.204.244.21|10.204.244.21/FastEthernet0/4
10.204.242.50|10.204.242.50/FastEthernet0/24
148.0.0.204|148.0.0.204/GigabitEthernet0/1
10.204.244.2|10.204.244.2/FastEthernet0/14
12.123.105.76|12.123.105.76/GigabitEthernet0/2
10.204.241.88|10.204.241.88/FastEthernet0/4
10.204.244.2|10.204.244.2/FastEthernet0/8
10.204.244.21|10.204.244.21/FastEthernet0/12
12.123.102.156|12.123.102.156/GigabitEthernet0/1
10.204.241.0|10.204.241.0/FastEthernet0/3
10.204.244.21|10.204.244.21/FastEthernet0/18
10.204.241.11|10.204.241.11/FastEthernet0/24
10.204.244.131|10.204.244.131/FastEthernet0/22
12.123.110.20|12.123.110.20/GigabitEthernet0/0
10.204.241.8|10.204.241.8/FastEthernet0/10
10.204.241.8|10.204.241.8/FastEthernet0/21
10.204.241.88|10.204.241.88/FastEthernet0/15
10.204.241.3|10.204.241.3/FastEthernet0/2
10.204.241.11|10.204.241.11/FastEthernet0/12
10.204.241.2|10.204.241.2/FastEthernet0/7
12.123.106.76|12.123.106.76/GigabitEthernet0/0
12.123.105.156|12.123.105.156/GigabitEthernet0/1
148.0.15.164|148.0.15.164/GigabitEthernet0/3/0
192.168.114.108|192.168.114.108/GigabitEthernet0/0
148.0.11.52|148.0.11.52/GigabitEthernet0/0/0
10.204.242.50|10.204.242.50/FastEthernet0/1
10.204.244.131|10.204.244.131/FastEthernet0/11
10.204.241.8|10.204.241.8/FastEthernet0/6
10.204.241.2|10.204.241.2/FastEthernet0/6
10.204.244.21|10.204.244.21/FastEthernet0/8
10.204.244.131|10.204.244.131/FastEthernet0/18
10.204.241.11|10.204.241.11/FastEthernet0/21
10.204.241.51|10.204.241.51/FastEthernet0/15
10.204.244.4|10.204.244.4/FastEthernet0/3
10.204.241.51|10.204.241.51/FastEthernet0/5
10.204.241.12|10.204.241.12/FastEthernet0/11
10.204.241.51|10.204.241.51/GigabitEthernet0/2
10.204.241.0|10.204.241.0/FastEthernet0/14
10.204.241.2|10.204.241.2/FastEthernet0/1
10.204.241.8|10.204.241.8/FastEthernet0/20
10.204.241.8|10.204.241.8/FastEthernet0/1
12.123.102.156|12.123.102.156/GigabitEthernet0/0/0
10.204.241.1|10.204.241.1/FastEthernet0/6
10.204.241.51|10.204.241.51/FastEthernet0/23
10.204.244.31|10.204.244.31/FastEthernet0/13
10.204.241.1|10.204.241.1/FastEthernet0/5
10.204.244.2|10.204.244.2/FastEthernet0/2
10.204.241.51|10.204.241.51/FastEthernet0/17
10.204.241.0|10.204.241.0/FastEthernet0/4
10.204.241.12|10.204.241.12/FastEthernet0/13
10.204.241.1|10.204.241.1/FastEthernet0/11
12.123.105.156|12.123.105.156/GigabitEthernet0/0
10.204.241.1|10.204.241.1/FastEthernet0/9
10.204.241.51|10.204.241.51/FastEthernet0/21
10.204.244.31|10.204.244.31/FastEthernet0/2
10.204.244.131|10.204.244.131/FastEthernet0/5
10.204.244.21|10.204.244.21/FastEthernet0/22
10.204.241.2|10.204.241.2/FastEthernet0/4
12.123.115.36|12.123.115.36/GigabitEthernet0/2
10.204.241.3|10.204.241.3/FastEthernet0/20
10.204.244.131|10.204.244.131/FastEthernet0/16
10.204.241.0|10.204.241.0/FastEthernet0/8
10.204.244.31|10.204.244.31/FastEthernet0/16
10.204.241.1|10.204.241.1/FastEthernet0/7
10.204.242.50|10.204.242.50/FastEthernet0/11
148.0.15.164|148.0.15.164/GigabitEthernet0/1/0
10.204.244.31|10.204.244.31/FastEthernet0/4
10.204.241.2|10.204.241.2/FastEthernet0/21
12.123.107.228|12.123.107.228/GigabitEthernet0/1
10.204.241.88|10.204.241.88/FastEthernet0/24
12.123.102.156|12.123.102.156/GigabitEthernet0/0
10.204.241.3|10.204.241.3/FastEthernet0/17
10.204.244.31|10.204.244.31/FastEthernet0/19
10.204.241.88|10.204.241.88/FastEthernet0/11
10.204.241.3|10.204.241.3/FastEthernet0/24
10.204.244.4|10.204.244.4/FastEthernet0/8
10.204.241.3|10.204.241.3/FastEthernet0/16
10.204.241.3|10.204.241.3/FastEthernet0/22
10.204.241.2|10.204.241.2/FastEthernet0/12
10.204.242.50|10.204.242.50/GigabitEthernet0/0
10.204.241.2|10.204.241.2/FastEthernet0/23
10.204.241.51|10.204.241.51/FastEthernet0/7
10.204.241.12|10.204.241.12/FastEthernet0/9
10.204.241.3|10.204.241.3/FastEthernet0/15
10.204.241.51|10.204.241.51/FastEthernet0/20
10.204.241.8|10.204.241.8/FastEthernet0/7
148.0.15.148|148.0.15.148/GigabitEthernet0/0
10.204.244.2|10.204.244.2/FastEthernet0/15
10.204.241.8|10.204.241.8/FastEthernet0/2
12.123.110.4|12.123.110.4/GigabitEthernet0/2
148.0.4.52|148.0.4.52/GigabitEthernet0/0
10.204.241.1|10.204.241.1/FastEthernet0/20
10.204.242.50|10.204.242.50/FastEthernet0/5
10.204.244.2|10.204.244.2/FastEthernet0/16
10.204.241.12|10.204.241.12/FastEthernet0/18
12.123.105.76|12.123.105.76/GigabitEthernet0/1
10.204.244.2|10.204.244.2/FastEthernet0/20
192.168.114.132|192.168.114.132/GigabitEthernet0/0
10.204.241.3|10.204.241.3/FastEthernet0/11
10.204.241.88|10.204.241.88/FastEthernet0/10
10.204.244.2|10.204.244.2/FastEthernet0/18
10.204.244.4|10.204.244.4/FastEthernet0/1
148.0.15.148|148.0.15.148/GigabitEthernet0/0/0
10.0.32.83|10.0.32.83/Gi0/1
12.123.105.76|12.123.105.76/5
12.123.105.76|12.123.105.76/GigabitEthernet0/0
10.204.241.3|10.204.241.3/FastEthernet0/12
143.0.9.52|143.0.9.52/GigabitEthernet0/0
10.204.244.31|10.204.244.31/FastEthernet0/22
10.204.242.50|10.204.242.50/FastEthernet0/20
10.204.241.12|10.204.241.12/FastEthernet0/12
192.168.114.92|192.168.114.92/GigabitEthernet0/1
10.204.244.21|10.204.244.21/FastEthernet0/11
10.204.244.31|10.204.244.31/FastEthernet0/1
10.204.241.0|10.204.241.0/FastEthernet0/10
10.204.241.2|10.204.241.2/FastEthernet0/17
10.204.241.3|10.204.241.3/FastEthernet0/10
192.168.114.140|192.168.114.140/GigabitEthernet0/0
10.204.241.3|10.204.241.3/FastEthernet0/6
10.204.244.2|10.204.244.2/FastEthernet0/11
10.204.244.131|10.204.244.131/FastEthernet0/17
12.123.115.36|12.123.115.36/GigabitEthernet0/0
192.168.114.110|192.168.114.110/GigabitEthernet0/1
12.123.102.20|12.123.102.20/GigabitEthernet0/0
148.0.15.148|148.0.15.148/GigabitEthernet0/1/0
192.168.114.108|192.168.114.108/GigabitEthernet0/1
12.123.110.4|12.123.110.4/GigabitEthernet0/0
10.204.241.88|10.204.241.88/FastEthernet0/21
10.204.244.2|10.204.244.2/FastEthernet0/24
10.204.241.8|10.204.241.8/FastEthernet0/23
10.204.241.8|10.204.241.8/FastEthernet0/16
12.123.118.108|12.123.118.108/GigabitEthernet0/0
10.204.244.131|10.204.244.131/FastEthernet0/21
10.204.244.31|10.204.244.31/FastEthernet0/5
10.204.241.3|10.204.241.3/FastEthernet0/5
192.168.114.68|192.168.114.68/GigabitEthernet0/1
10.204.241.11|10.204.241.11/FastEthernet0/17
10.204.244.31|10.204.244.31/FastEthernet0/18
10.204.244.4|10.204.244.4/FastEthernet0/5
10.204.241.1|10.204.241.1/FastEthernet0/15
10.204.241.12|10.204.241.12/FastEthernet0/14
148.0.0.204|148.0.0.204/GigabitEthernet0/0
10.204.242.50|10.204.242.50/FastEthernet0/10
10.204.241.51|10.204.241.51/FastEthernet0/19
10.204.241.12|10.204.241.12/FastEthernet0/10
10.204.244.21|10.204.244.21/FastEthernet0/14
10.204.244.4|10.204.244.4/FastEthernet0/15
12.123.118.108|12.123.118.108/GigabitEthernet0/1/0
